File name,Column,Missing Rows
2023-05-31_OV71-JHX.parquet,FCCUI_UThVlvCooltFb,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,KL30_FLT_FB,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,KL30B1_FB,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,KL30B2_FB,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_ULvbatFuCellSys,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_UStackCvmAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_UStackThdaAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_PwrCmprOutpAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_PwrCnsMin,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_PwrCnsMax,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_PwrCnsAbsMax,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,Chiller_EKK_INV_TEMP,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,Master_EKK_INV_TEMP,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OVR_EKK_INV_TEMP,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OVR_PTC_Temp_PCB,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_UCellCvmMax,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_UCellCvmMin,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_UCellCvmMean,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_SCU_TankTempAvg,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,VCU_EM_Temperatur_Rotor,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_ValFuCellSysH2Cns,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
